"team_id","totalfgm","totalfga","totalfgm3","totalfga3","totalftm","totalfta","totalor","totaldr","totalast","totalto","totalstl","totalblk","totalpf","totalwins","totallosses","totalpt","totalptagainst","fgPer","fg3Per","ftPer","wlRat","ptRat"
1101,427,1053,140,375,332,445,168,427,210,315,121,31,453,2,19,1326,1651,0.405508072174739,0.373333333333333,0.746067415730337,0.105263157894737,0.803149606299213
1102,7171,15656,2567,6983,4053,5795,2196,6743,4616,4040,2177,708,5830,175,165,20962,20488,0.458035258048033,0.367607045682371,0.69939603106126,1.06060606060606,1.02313549394768
1103,9316,20751,2646,7403,5485,8021,4305,8451,5297,4968,2611,1311,7166,247,128,26763,24767,0.448942219652065,0.35742266648656,0.683829946390724,1.9296875,1.08059110913716
1104,9137,20442,2140,6225,5337,7625,4437,8933,4597,4870,2592,1627,6302,218,151,25751,24158,0.446971920555719,0.343775100401606,0.699934426229508,1.44370860927152,1.06594088914645
1105,7070,17886,1728,5620,4692,7179,3818,7372,3635,4994,2421,1368,6349,115,199,20560,22052,0.395281225539528,0.307473309608541,0.653572921019641,0.577889447236181,0.932341737710865
1106,7811,19106,1959,6250,4745,7477,4374,8049,4065,5299,2367,1194,6816,165,186,22326,23023,0.408824453051397,0.31344,0.634612812625384,0.887096774193548,0.969725926247665
1107,8557,19855,2297,6486,4990,6896,4151,8685,4453,5176,2193,929,6614,183,188,24401,24473,0.430974565600604,0.354147394387912,0.72360788863109,0.973404255319149,0.997057982266171
1108,7828,19537,1765,5635,4985,7629,3850,7873,3588,6076,2440,1049,7342,90,261,22406,26107,0.400675641091263,0.313220940550133,0.653427710053742,0.344827586206897,0.858237254376221
1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
1110,8274,18787,2427,6585,4636,6595,3551,8667,4868,4927,1962,961,6500,206,160,23611,23108,0.440410922446372,0.368564920273349,0.702956785443518,1.2875,1.02176735329756
1111,8615,19472,2395,6792,4939,7159,3981,8141,4397,5114,2441,1268,6441,165,178,24564,24827,0.442430156121611,0.352620730270907,0.689900824137449,0.926966292134832,0.989406694324727
1112,10087,21757,2487,6684,6129,8402,4492,9277,5765,5033,2538,1351,6328,269,111,28790,25821,0.463620903617227,0.372082585278276,0.729469174006189,2.42342342342342,1.1149839278107
1113,8744,19445,2498,7055,5270,7575,3716,8602,5326,4910,2225,1337,6589,193,174,25256,24378,0.449678580611983,0.354075124025514,0.695709570957096,1.10919540229885,1.0360160800722
1114,7810,18398,1885,5435,5599,8073,3916,8000,4125,5061,2113,1032,6972,177,171,23104,23621,0.424502663332971,0.346826126954922,0.693546389198563,1.03508771929825,0.978112696329537
1115,7521,19200,1707,5645,4338,6789,3933,8202,3914,5792,2606,1196,6954,117,235,21087,24157,0.39171875,0.302391496899911,0.6389748121962,0.497872340425532,0.872914683114625
1116,9539,21610,2357,6922,5572,8195,4512,8683,5157,5156,2911,1842,7047,208,165,27007,25493,0.441416011105969,0.340508523548107,0.679926784624771,1.26060606060606,1.05938885184168
1117,8326,19044,2179,6071,5164,7475,3924,8099,4179,4819,2193,994,6439,162,183,23995,24055,0.43719806763285,0.358919453137869,0.690836120401338,0.885245901639344,0.997505716067346
1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
1119,7172,17243,2137,6133,3948,5627,2948,7390,4182,5127,2114,759,6433,112,223,20429,22376,0.415936901931218,0.3484428501549,0.701617202772348,0.502242152466368,0.912987129066857
1120,8909,20515,2422,7326,4905,7386,4291,8280,4889,5216,2815,1359,6953,172,192,25145,25215,0.434267609066537,0.330603330603331,0.664094232331438,0.895833333333333,0.997223874677771
1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
1122,8840,19629,2166,6161,5648,8188,3888,8104,4867,5152,2588,1286,6500,189,172,25494,25636,0.45035406796067,0.351566304171401,0.689789936492428,1.09883720930233,0.99446091433921
1123,7701,18453,1811,5461,5117,7505,3994,7831,4030,4763,2041,816,6724,140,208,22330,23199,0.417330515363356,0.331624244643838,0.681812125249833,0.673076923076923,0.962541488857278
1124,8770,19627,2571,7140,5128,7250,4181,8123,4592,4843,2382,1460,6325,192,158,25239,24256,0.44683344372548,0.360084033613445,0.707310344827586,1.21518987341772,1.04052605540897
1125,9790,21007,3353,9113,5383,7626,4055,8799,5936,5424,2953,995,7081,257,113,28316,25533,0.466035131146761,0.367935915724789,0.705874639391555,2.27433628318584,1.10899620099479
